Key	Value
战斗	战斗
气感	气感
处世	处世
炼丹	炼丹
烹饪	烹饪
版筑	版筑
农耕	农耕
金石	金石
雅艺	雅艺
炼器	炼器
斗法	斗法
丹器	丹器
御器	御器
术法	术法
护体	护体
歧黄	歧黄
巧匠	巧匠
神识	神识
根骨	根骨
魅力	魅力
悟性	悟性
机缘	机缘
痛感	痛感
意识	意识
经脉	经脉
移动	移动
身手	身手
感知	感知
影响战斗能力。	影响战斗能力。
影响角色灵气最大值。	影响角色灵气最大值。
影响角色之间互动事件发生的概率，招募角色的概率等。	影响角色之间互动事件发生的概率，招募角色的概率等。
影响炼丹时的速度，炼丹时的产量，炼丹时的成功率。	影响炼丹时的速度，炼丹时的产量，炼丹时的成功率。
影响烹饪速度，烹饪成功率等。	影响烹饪速度，烹饪成功率等。
影响建筑速度，建筑受伤时的概率等。	影响建筑速度，建筑受伤时的概率等。
影响种植作物速度，收获作物产量等。	影响种植作物速度，收获作物产量等。
影响采掘速度，采掘产量等。	影响采掘速度，采掘产量等。
影响制作物品品质等。	影响制作物品品质等。
影响炼器时的速度，炼器产品的质量，炼器成功率以及炼器品阶加成。	影响炼器时的速度，炼器产品的质量，炼器成功率以及炼器品阶加成。
影响进入内门时，御物，术法，护体的初始等级。	影响进入内门时，御物，术法，护体的初始等级。
影响岐黄，巧匠技巧，在进入内门时转化为炼丹，炼器的比例。	影响岐黄，巧匠技巧，在进入内门时转化为炼丹，炼器的比例。
影响角色驾驭法宝的能力。	影响角色驾驭法宝的能力。
影响角色施展咒法的能力。	影响角色施展咒法的能力。
影响角色灵气抵挡伤害的能力。	影响角色灵气抵挡伤害的能力。
影响制药速度，治疗外门伤的疗效等	影响制药速度，治疗外门伤的疗效等
影响制作物品速度，制作物品品质等。	影响制作物品速度，制作物品品质等。
春	春
夏	夏
秋	秋
冬	冬
思	思
长孙	长孙
山	山
闻人	闻人
玉	玉
隋	隋
文烟	文烟
[color=#9e6404]相关工作：[/color]\n移除地板\n拆除建筑\n修理建筑\n移动和安装建筑\n建造建筑\n搬运建筑原料	[color=#9e6404]相关工作：[/color]\n移除地板\n拆除建筑\n修理建筑\n移动和安装建筑\n建造建筑\n搬运建筑原料
[color=#9e6404]相关工作：[/color]\n搬人上床\n照顾病人	[color=#9e6404]相关工作：[/color]\n搬人上床\n照顾病人
[color=#9e6404]相关工作：[/color]\n祭祀\n搬人上床\n搬运燃料\n埋葬\n搬运角色\n挑水\n搬运物品\n搬运生产原料\n打扫地面	[color=#9e6404]相关工作：[/color]\n祭祀\n搬人上床\n搬运燃料\n埋葬\n搬运角色\n挑水\n搬运物品\n搬运生产原料\n打扫地面
[color=#9e6404]相关工作：[/color]\n扫地	[color=#9e6404]相关工作：[/color]\n扫地
[color=#9e6404]相关工作：[/color]\n烹饪\n搬运烹饪原料	[color=#9e6404]相关工作：[/color]\n烹饪\n搬运烹饪原料
[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物	[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物
[color=#9e6404]相关工作：[/color]\n切石\n搬运切石原料\n手工制造\n搬运手工原料	[color=#9e6404]相关工作：[/color]\n切石\n搬运切石原料\n手工制造\n搬运手工原料
[color=#9e6404]相关工作：[/color]\n屠宰\n狩猎\n探索	[color=#9e6404]相关工作：[/color]\n屠宰\n狩猎\n探索
[color=#9e6404]相关工作：[/color]\n开采矿石	[color=#9e6404]相关工作：[/color]\n开采矿石
[color=#9e6404]相关工作：[/color]\n灭火	[color=#9e6404]相关工作：[/color]\n灭火
[color=#9e6404]相关工作：[/color]\n收获植物\n种植植物	[color=#9e6404]相关工作：[/color]\n收获植物\n种植植物
[color=#9e6404]相关工作：[/color]\n上床休养	[color=#9e6404]相关工作：[/color]\n上床休养
[color=#9e6404]相关工作：[/color]\n制作衣物\n搬运衣物原材料	[color=#9e6404]相关工作：[/color]\n制作衣物\n搬运衣物原材料
[color=#9e6404]相关工作：[/color]\n锻造物品\n搬运锻造原料	[color=#9e6404]相关工作：[/color]\n锻造物品\n搬运锻造原料
[color=#9e6404]相关工作：[/color]\n治疗普通疾病\n制药	[color=#9e6404]相关工作：[/color]\n治疗普通疾病\n制药
筑工	筑工
照顾	照顾
苦力	苦力
膳夫	膳夫
木客	木客
猎户	猎户
石工	石工
救灾	救灾
农人	农人
休养	休养
衣匠	衣匠
铁匠	铁匠
郎中	郎中
筑基	筑基
木材	木材
木料	木料
石头	石头
石块	石块
金属	金属
植物	植物
植物产物	植物产物
食物原料	食物原料
肉类	肉类
皮毛	皮毛
布	布
骨骼	骨骼
角料	角料
武器	武器
法宝	法宝
宝物	宝物
披风	披风
衣服	衣服
裤子	裤子
食物	食物
药物	药物
灵丹	灵丹
符咒	符咒
符纸	符纸
工具	工具
金属锭	金属锭
秘籍	秘籍
灵石	灵石
垃圾	垃圾
其他	其他
珀	珀
正邪未明	正邪未明
正道魁首	正道魁首
正道中流	正道中流
名门正派	名门正派
亦正亦邪	亦正亦邪
邪门歪道	邪门歪道
邪道砥柱	邪道砥柱
魔门巨擘	魔门巨擘
祖师殿	祖师殿
坐北朝南	坐北朝南
炼宝阁	炼宝阁
坐西朝东	坐西朝东
卧房	卧房
炼丹房	炼丹房
厨房	厨房
坐东朝西	坐东朝西
仓库	仓库
坐南朝北	坐南朝北
工坊	工坊
角色对外界的探查与反馈的能力，影响角色的视野，以及需要精细工作的效率等属性。	角色对外界的探查与反馈的能力，影响角色的视野，以及需要精细工作的效率等属性。
角色身体的强度，影响角色的寿命，抗寒抗热，以及与体力相关的效率等属性。	角色身体的强度，影响角色的寿命，抗寒抗热，以及与体力相关的效率等属性。
角色获取他人好感的能力，包括外在容貌与内在气质，影响角色的社交能力。	角色获取他人好感的能力，包括外在容貌与内在气质，影响角色的社交能力。
角色思考的能力，影响角色的学习速度等属性。	角色思考的能力，影响角色的学习速度等属性。
角色受上天眷顾的程度，影响角色概率相关的属性。	角色受上天眷顾的程度，影响角色概率相关的属性。
角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。	角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。
灵气	灵气
历练值	历练值
领悟值	领悟值
修为	修为
寿元	寿元
任意	任意
皮肉	皮肉
器官	器官
(吃饭)	(吃饭)
(练功)	(练功)
(睡觉)	(睡觉)
无	无
练气期	练气期
结丹期	结丹期
金丹期	金丹期
元神期	元神期
在世真仙	在世真仙
练习御物	练习御物
练习功法	练习功法
炼制法宝	炼制法宝
练习术法	练习术法
进行调心	进行调心
练习护体	练习护体
炼制丹药	炼制丹药
男人	男人
女人	女人
修炼	修炼
过往	过往
美景	美景
动物	动物
功法	功法
厨艺	厨艺
农事	农事
玄学	玄学
邪教	邪教
正派	正派
秘密	秘密
天气	天气
门派	门派
阵法	阵法
昨天	昨天
爱好	爱好
猫	猫
狗	狗
早饭	早饭
金	金
木	木
水	水
火	火
土	土
混元	混元
心境崩溃	心境崩溃
心境不稳	心境不稳
心境中正	心境中正
心境圆润	心境圆润
心境通明	心境通明
心境无暇	心境无暇
弟子	弟子
精英	精英
长老	长老
\n温度不适	\n温度不适
\n灵气不适	\n灵气不适
\n肥沃不适	\n肥沃不适
\n季节不适	\n季节不适
\n五行不适	\n五行不适
\n灵气不足	\n灵气不足
