ID	Flag	Desc	Txt	Pic	Link	Voice
ID	实装flag 无意义	介绍 无实际作用	内容	说明图片	链接到帮助系统的位置	语音
1	1	第一次选中角色	角色面板上显示了角色的[color=#D06508]饥饿度[/color]，[color=#D06508]情绪值[/color]等基本状态。玩家还可以通过角色面板上的[color=#D06508]互动按钮[/color]，对该角色发布直接的命令。	ui\Help2\001	21	Sound\Help\m1
2	1	第一次点击屏幕下方的资源采集命令。	玩家可以通过屏幕下方发布资源采集命令：[color=#D06508]单击[/color]可以针对单个目标资源发布命令。 [color=#D06508]拖拽[/color]则可以对范围内的目标资源批量发布命令。	ui\Help2\002	33	Sound\Help\m2
3	1	第一次点击屏幕下方的探索。	玩家可以通过探索命令标记迷雾中的一个地点，负责[color=#D06508]狩猎[/color]的角色就会尝试向目标点的方向探索。需要注意，探索会加倍消耗[color=#D06508]精力[/color]，精力只能通过睡眠恢复。	ui\Help2\003		Sound\Help\m3
4	1	第一次选中植物/物品/矿物等	选中物品后，可以通过物品面板上方的互动按钮对该物品发出相关指令。当鼠标悬停在物品上时，则可以查看物品的详细信息。	ui\Help2\004		Sound\Help\m4
5	1	第一次打开工作面板	可以在工作面板中安排外门弟子的工作内容。工作面板中的工作优先级[color=#D06508]从左往右降低[/color]，但玩家可通过[color=#D06508]特别优先[/color]来调整某位角色的工作优先级。内门弟子的行为不受工作面板约束。	ui\Help2\005	31	Sound\Help\m5
6	1	第一次打开门派面板	当有一位角色筑基成功，成为内门弟子后，就可以在门派面板建立门派。玩家可以在门派面板中进行门派管理，门派数据的查阅，门派自动伙食的设定等操作。	ui\Help2\006	611	Sound\Help\m6
7	1	第一次打开天下面板	当成功建立门派后，就可以在此界面派遣内门弟子外出历练。角色在历练中可以遭遇各种各样的奇遇，增强自身，闯出名号，并获取珍稀的资源。	ui\Help2\007	610	Sound\Help\m7
8	1	第一次点击建筑按钮	可以在建筑面板查看当前可建的建筑，并发布建筑命令。随着游戏历程推进，会解锁更多建筑。注意，部分建筑需要[color=#D06508]工作点[/color]，摆放建筑时要注意给工作点留出空间。	ui\Help2\008	41	Sound\Help\m8
9	1	第一次建造观星台	你已经建造观星台，现在可以通过左上角的太极盘查看风水了。 风水以间接的方式影响游戏的方方面面，是门派建设的重中之重。	ui\Help2\009	51	Sound\Help\m9
10	1	第一次建造法宝台	你已经建造炼宝台，现在可以通过内门弟子角色面板上的炼宝按钮来炼制法宝了。任何物品都可以用来炼制法宝，不同的物品有不同的特质，炼制出的法宝属性偏向也不同。	ui\Help2\010	68	Sound\Help\m10
11	1	第一次建造丹炉	你已经建造丹炉，现在可以通过内门弟子角色面板上的炼丹按钮来炼制丹药了。随着游戏历程推进，玩家可以获得新的丹方，角色只要研读丹方，就可以解锁新的丹药配方。	ui\Help2\011	68	Sound\Help\m11
12	1	第一次打开画符界面	符咒有强大的功效，玩家可以将画好的符咒装备到角色身上以调整角色属性。随着游戏历程推进，玩家可以获得新的符图，角色只要研读符图，就可以解锁新的符咒画法。	ui\Help2\012	68	Sound\Help\m12
13	1	第一次打开心情与社交面板	你打开了角色的情绪面板。在此面板，你可以查看当前角色的种种情绪，它们通常反应了角色的需求。为了使门派良好的运转，请关注角色情绪并满足他们的需求。	ui\Help2\013	23	Sound\Help\m13
14	1	第一次打开健康面板	你打开了角色的健康面板。在此面板，你可以查看角色的健康状态，受伤情况，恢复情况等信息。为了使门派良好的运转，请随时关注角色的健康状态，并让受伤的角色尽快回复健康。	ui\Help2\014	25	Sound\Help\m14
15	1	第一次打开修炼面板	你打开了角色的修炼面板。在此面板，你可以查看角色修炼相关的数据和状态。随着境界的提升，修炼面板的内容也会发生变化。获得修炼方法后才能开启此面板。	ui\Help2\016	62	Sound\Help\m15
16	1	第一次划种植区	你规划了一片农田，可以选中农田来指定该区域种植的作物。不同植物的生长需要不同的土壤肥力，温度，光照等条件。关注植物的需求，并尝试让农田的条件更适合植物生长。	ui\Help2\019	36	Sound\Help\m16
17	1	第一次划储存区	你规划了一片仓库，角色会将物品搬运到仓库进行储藏。玩家可以配置仓库的[color=#D06508]筛选规则[/color]，以实现物品的分类储存。	ui\Help2\021	36	Sound\Help\m17
18	1	第一次建造生产建筑（制药桌等）	你建造了一个生产建筑。打开该建筑的生产列表，可以发布生产命令。玩家可以对生产队列中的物品进行[color=#D06508]置顶[/color]，[color=#D06508]循环制作[/color]等操作。	ui\Help2\022	34	Sound\Help\m18
19	1	第一次建成房间	你建成了一个房间。在房间中，诸如温度，美观度等常规属性会以平均算法进行计算。除此之外，房间还对布局，豪华程度等方面提出要求。玩家可以通过点击房间地板来选中房间进行查看。	ui\Help2\023	43	Sound\Help\m19
20	1	第一次角色心情低于40	你有一名角色情绪过低。玩家可以通过屏幕顶端的人物标签便捷的查看心情。如果角色心情偏低，则需要在该角色心情面板中查看其具体情绪，并针对性的为他解决问题。	ui\Help2\024	23	Sound\Help\m20
21	1	第一次角色怠工	你有一名外门弟子怠工了。当外门弟子心情低于30就会发生怠工，怠工期间角色不会进行工作。如果再此期间角色的心情恢复到45以上，该角色就会提前离开怠工状态。	ui\Help2\025	23	Sound\Help\m21
22	1	第一次有角色觉得温度不适	你有一名角色觉得温度不适。玩家可以通过改善装备（如穿合适的衣服，带针对性的符咒）或改变环境（如点燃篝火，使用寒冷的材料来制作家具）来解决角色温度不适的问题。 	ui\Help2\026	23	Sound\Help\m22
23	1	第一次提示食物储量不足	你的食物储备不足，请在食物用完之前寻找新的食物。如果食物用尽，角色会因饥饿而死亡。	ui\Help2\027		Sound\Help\m23
24	1	第一次提示药物储量不足	你的药物储备不足，请在药物用完之前寻找新的药物。如果药物用尽，角色受伤时会因没有药物而无法被治疗。	ui\Help2\028		Sound\Help\m24
25	1	第一次吃土	你有一名角色因过度饥饿而吃土了。注意，连续多次吃土会因腹胀而死亡，可先种植易成熟的作物“蘑菇”，或打猎，或南屏村历练来收集食物。	ui\Help2\029		Sound\Help\m25
26	1	第一次提示精元储备不足	你的精元物品储备不足，请及时获取新的精元物品。内门弟子的所有修炼都需要精元，如果角色精元消耗完毕则无法进行任何修炼。	ui\Help2\030	63	Sound\Help\m26
27	1	第一次来敌人	有一群敌人出现在附近，他们即将对你发动攻击。敌人的强度与门派声望有关，门派声望越高，来觊觎你的敌人就会越强。	ui\Help2\031	21	Sound\Help\m27
28	1	第一次受外门伤	你有一名角色受伤了，玩家可以在健康面板查看其伤势信息。伤势的回复速度与[color=#D06508]伤者恢复力[/color]，[color=#D06508]治疗者医术高低[/color]，[color=#D06508]治疗用药[/color]都有关系。如果治疗后伤势没有好转，请尝试改善这些条件。	ui\Help2\032	25	Sound\Help\m28
29	1	第一次受内门伤	你有一名角色被异种真气所伤，玩家可以在健康面板查看其伤势信息。异种真气造成的伤势无法靠药物恢复，必须通过炼丹炉炼制[color=#D06508]对应的丹药[/color]，并给伤者手动服用才能化解伤势。异种真气所造成的伤势恢复速度与[color=#D06508]伤者恢复力[/color]，[color=#D06508]丹药药效[/color]有关。如果服用丹药后伤势有没有好转，请尝试改善这些要素。	ui\Help2\033	25	Sound\Help\m29
30	1	第一次遇到瓶颈	你有一名修行者的修炼遇到了瓶颈。修行者在修炼过程中会遇到各种各样的瓶颈，只有突破瓶颈，才能继续修行。不同的瓶颈突破方法各不相同，根据瓶颈特点，优化其突破条件，可以让修行者更顺利的突破。	ui\Help2\034	65	Sound\Help\m30
31	1	第一次心境低于50	你有一名修行者的心境出现了问题。心境是修行者重要的属性，不论修炼，突破，炼丹，炼宝都与心境息息相关。玩家可以通过人物面板中的[color=#D06508]修炼模式选择[/color]来调节弟子的心境。	ui\Help2\035	64	Sound\Help\m31
32	1	第一次入魔	你有一名修行者入魔了。修行者虽然不会怠工，但是如果[color=#D06508]长时间情绪低落[/color]，就有可能入魔。入魔后角色将完全失去控制，只能等入魔恢复。请确保情绪不要太低，以防修行者入魔。	ui\Help2\036	64	Sound\Help\m32
33	1	第一次结丹成功	你有一名修行者成功结成金丹了！金丹修士可以收徒，拥有庞大的灵气，掌握各种神通，可以说是修炼最关键的门槛。需要注意的是，金丹之后的修炼会变得十分困难，玩家需要[color=#D06508]利用自身的神通[/color]（例如入定之术），或者[color=#D06508]通过历练[/color]获得奇遇来快速获取修为。	ui\Help2\037		Sound\Help\m33
34	1	第一次熔炼	当拥有内门弟子以后，你可以熔炼不需要的物品，将其变成灵石。每500点灵气可以熔炼成一颗灵石。如果熔炼对象是法宝，法宝的品阶越高，熔炼获得的灵石就越多。	ui\Help2\038	68	Sound\Help\m34
35	1	第一次学会神通	你有一名修行者习得一门神通。神通可以通过角色面板右侧的神通栏选择释放，合理利用神通可以很方面的解决各种棘手的问题。随着修行境界的提高，角色可以学会更多的神通。有的时候，历练中也能获得记载有神通的秘籍。	ui\Help2\039	69	Sound\Help\m35
36	1	第一次触发秘闻	你获得了一条秘闻。玩家可以前往秘闻所在地去触发秘闻，并尝试获得秘闻的奖励。秘闻一般会有优质的奖励，但也比较看机缘，如果遇到无法完成的秘闻也不用过于纠结。	ui\Help2\040	610	Sound\Help\m36
37	1	第一次学会术法	你有一名修行者习得一门术法。术法只有战斗中才能使用，可以通过角色面板右侧的术法栏选择释放。术法十分强力，但是也会消耗自身灵气，因此术法的释放需要谨慎。	ui\Help2\041		Sound\Help\m37
38	1	第一次有访客	有一名访客暂时留在你的门派，你可以尝试说服他加入你的门派。在说服访客时，[color=#D06508]说服者的魅力与处世技能[/color]越高，[color=#D06508]访客的情绪[/color]越好，越容易说服他留下来。	ui\Help2\042		Sound\Help\m38
39	0	第一次打开参悟界面	你打开了角色的参悟面板。在此面板，你可以规划并提升角色的能力。提升角色能力需要消耗经验，角色能力越强，道行越高，学习新能力消耗的经验也越多。经验值主要来自于日常修炼积累，历练中也有可能获得经验。	ui\Help2\043		Sound\Help\m39
