ID	Name	Desc	sParam1	sParam2
ID	名字	介绍	(天气:s天气类型)  (进攻:进攻富有等级) (妖兽:妖兽种族) (宝物:物品类型lable 权重:ID|ID.)  (角色:数据名字) (秘闻:随机秘闻ID|ID) (路人：行为描述)(动物进攻：种族)	(路人：附加标记)
1	晴天	    天气变的十分晴朗，不知这好天气会持续多久。		
2	阴天	    天空变的阴沉沉的，不知这阴天会持续多久。		
3	小雨	    一场小雨来临。		
4	大雨	    一场大雨来临。		
5	大雾	    突然起了一场大雾。		
6	愁绪弥漫	    一阵莫名的愁绪在门派中蔓延开来。		
7	暧昧的气息	    一股暧昧的气息在门派中蔓延开来。		
8	浮躁之风	    一股浮躁的风气突然在门派中蔓延起来。		
9	冰雹	    一场冰雹袭来。（未实装）		
10	梅雨	    一场梅雨来临。		
11	干旱	    一场干旱来临。		
12	暴雨	    一场猛烈的暴风雨袭来，天地间的水属性异常活跃。		
13	焚风	    一场炎热的焚风刮来，天地间的火属性异常活跃。		
14	尘暴	    一场尘暴席卷而来，天地间的土属性异常活跃。		
15	灵气枯潮	    不知道什么原因，天地间的灵气进入了短暂的低潮。		
16	酷暑	    酷暑来临，这个夏天将会格外炎热，注意避暑。		
17	凛冬	    凛冬将至，这个冬天将会格外寒冷，注意保暖。		
18	永夜	    一股妖云遮天蔽日，将持续一段时间不见阳光。		
19	瘟气	    一场瘴气笼罩整个地区，天地间的木属性异常活跃。		
20	雷暴	    一场雷暴降临，天地间的金属性异常活跃。		
21	妖兽	    一只蜚出现在附近，带来持续的阴雨和疾病。		
22	妖兽	    一只鹿蜀出现在附近，带来晴朗的天气和祥瑞之氛围。		
23	妖兽	    妖兽C出现在附近。		
24	妖兽	    妖兽D出现在附近。		
25	宝物	    天边飞来一道光华落在附近，不知是什么东西。		
26	宝物	    不远处的天空发生了一场激烈的斗法，有什么东西落到了附近。		
27	宝物	    附近突然有一道宝光直冲斗牛，似乎有什么宝物现世了。		
28	难民路过	    一名逃避战乱的难民路过此地，[IT]希望加入你们。		
29	秘闻			
30	秘闻			
31	秘闻			
32	秘闻			
33	秘闻			
34	进攻	    一群来自南荒丛林的蛮人对你发动袭击。		
35	进攻	    一群在江湖中四处流窜，以劫掠为生的强盗对你发动袭击。		
36	进攻	    一群来自东海的散修觊觎你的财产，对你发动袭击。		
37	强力进攻	    一群西域的邪派修行者对你发动袭击。		
38	强力进攻	    一些四处游荡的邪派弟子攻打你的门派。		
39	强力进攻	    一伙强大的修行者前来攻击你的门派。		
40	强力进攻	    一群凶名昭著的邪派修行者来袭击你的门派。		
41	时代开启	    最近南荒发生地裂之灾，大量的南荒蛮人和强盗流窜出来。		
42	仙友来访	    一名仙友来拜访你的门派，他大概是想住几天。	仙友来访	
43	迷路的路人	    一名路人在附近迷了路，[IT]希望得到我们的帮助。	迷路的路人	
44	好奇的路人	    一名充满好奇的路人偶然到了这里，[IT]特别想知道我们到底在干什么。	好奇的路人	
45	受伤的路人	    一名路人受伤了，[IT]希望临时留下来休息并得到我们的帮助。	受伤的路人	
46	小雪	    一场小雪来临。		
47	大雪	    一场大雪来临。		
48	观察者	    一名修行者正在观察你们，似乎并没有恶意。	观察者	
49	发狂的兽群	    一群饥饿的狼出现在附近，它们充满了敌意。		
50	发狂的兽群	    一群发狂的兔子出现在附近，它们充满了敌意。		
51	发狂的兽群	    一群充满攻击性的蛇出现在附近，它们充满了敌意。		
